Date d'envoi du CV et de la lettre,Nom de l'entreprise,Adresse de l'entreprise,Lien d'affichage du stage/poste,CV et lettre remis en main propre,Titre du poste,Nom du contact,Numéro de téléphone,Adresse courriel,Réponse/Relance/informations supplémentaires, Autre liens site
14 septembre 2025,GC Brieau,"36 Rue Wellington S #301, Sherbrooke, QC J1H 5C7",https://gcbrieau.bamboohr.com/careers/40,,Technicien informatique - Niveau 1,Madame Monsieur,(819) 563-0694,info@gcbrieau.com,En attente,https://gcbrieau.bamboohr.com/careers/40?source=linkedin_premium
05 octobre 2025,Soucy Techno,"2550, chemin St-Roch Sud Sherbrooke, J1N 2R6",https://www.soucy-group.com/unites/soucy-techno,,stagiaire informatique,Madame Kate,"1 844 474 4740","info@soucy-group.com",En attente,
06 octobre 2025,C-Mac Microcircuits ULC,"3000 Boulevard industriel Sherbrooke, QC J1L 1V8",https://cmac.com/careers/,,stagiaire informatique,Madame Monsieur,,,En attente,
06 octobre 2025,ADVEN Consulting,"455 Rue King Ouest, 6ème Étage Sherbrooke, Québec J1H 6E9",https://adven.consulting/,,stagiaire informatique,Madame Monsieur,(819) 434-6256,contact@adven.consulting,En attente,
08 octobre 2025,Vaillancourt Portes et Fenêtres,"252, boul. Industriel St-Germain-de-Grantham, QC J0C 1K0", www.vaillancourt.ca,,stagiaire informatique,Madame Monsieur,819-395-2161,,En attente,
08 octobre 2025,CIUSSS de l’Estrie-CHUS,"580, rue Bowen Sud, Sherbrooke (QC) J1G 2E8",http://www.santeestrie.qc.ca/accueil/,,stagiaire informatique,Madame Geneviève Gendron,,,En attente,
17-11-2025,Delifruit,"251, rue buisseau, Sherb QC J1E 2G7",https://glene.ca,,,,5147639802,ryan@gmail.com,En attente,https://bricoleur.com
17-11-2025,Delifruit,"251, ave, Sherb QC J1R 3K7",https://ggool.com,,,,5145555987,ry@hotmail.com,En attente,https://brico.com	
hdhgdhgdhh,hdhgdhgdhh,"432, rue buisseau, Sherb QC J1R 4C4",hdhgdhgdhh,,,,hdhgdhgdhh,hdhgdhgdhh,En attente,hdhgdhgdhh
wekffdsfsdfsfsdfsdfdswekffdsfsdfsfsdfsdfds,wekffdsfsdfsfsdfsdfds,"321, rue Buisseay, Sherv QC J1T 3H3",wekffdsfsdfsfsdfsdfds,,,,wekffdsfsdfsfsdfsdfds,wekffdsfsdfsfsdfsdfdswekffdsfsdfsfsdfsdfds,En attente,wekffdsfsdfsfsdfsdfds
dfgdgdgd,fadfdafsdf,"333, rue Terese, Shebr BC T5V 4bc",,,,,gdgdgdgdg,dfgfdgdfgfg,En attente,asfsdasdada
sapoaidopsiaidd,sajdjsadsa;dadas,dsadsdasdasd,sadajdsdaslkjd,,,,disfdsofipfodfpsfisp,sjldjsfjdskjfsjf,En attente,sadjasdjsad;ajd
sljfdslfjsfl;s;f,ASD;KD;SADSAKD;A,"sdasj;ada, Sherb QC J1E R2R",asskfdjasldjaasdladaslds   ,,,,DSAAD;SLDALDJSADSDJ;S,sdjsldjs;lfjsldf;sfj,En attente,SA;DLSALDS;ADA
dlksajdlsadlsa,kf;sdksfdsfs'f's,sdajdajskdjsadklaskdla,scnsaskdsadjsa;ld,,,,sd;dksa;dka;dk'a's,dfhlhdlkfhsdkf,En attente,ask;akda;skdsa;dk'a
kasd;sadka;,kfsf;ldskf;sfd;lsf;ls,"wqdsladjlald, Sherb QC J1E 4R3",weqpwoeipoqiq,,,,dsaiaoidpadpoipi[[,ewrpiowperpwrpewr,En attente,dasdmadka'd'a
K;SFD'F'DS,ADSBAJKDB,DASDADS,AFSKDSAHD,,,,SAJL;JDLAS,SADKD,En attente,ADSA
XLJKASDJALSDJSKLD,saSAlsS,adask;fkslkdalda,",SADHADKHALDADL",,,,LJSFASDLSJDSALD,FSDLJSLFSDF,En attente,ads;lsad;alda;da;s
sfdsfsfsdf13,dssdffsdfsf3,dsgfsdfsdfdfs1,sfdsfsfsdf8,,,,sfdsfsfsdf11,sfdsfsfsdf5,En attente,sfdsfsfsdf2
afadfdafaff,fsafdafafa,safsadasfa,faffafa,,,,fafa,asfaafaf,En attente,fasfdfafas
fsfsdfsds,sdfdsfsd,asdsfdsaf,dsfsdfsdf,,,,sfsdfsdfds,dsfsdfdsfdsf,En attente,adfdsfdsfsdf
dsfsfds,dsakjdhakdkada,sgdsajgadas,fasfdsfsf,,,,dksjahd,dsakdhadahdald,En attente,asdagdsadgksadj
ffsff,fsdfsdfdsf,sldakldkajljd,sdffff,,,,fsfsfsf,dffs,En attente,sfdfdsfs
ffsfsfsfds,sdfsfsf,saddsfsdsf,sffs,,,,fff,fsf,En attente,dsffsf
sfff,fsfsfsf,fsdfssfsdf,fdgfdgfdgdgfdgdfg,,,,ffsf,ffsfssfsf,En attente,dsfdsfsfs
xccccxxz,zczc,sacscdczxc,zczc,,,,czxczc,czczc,En attente,xzczczc
xczxxc,cczccc,dxczczcx,zczxczxc,,,,ccczxczx,zxccx,En attente,zccz
adsaasd,sda,sadadsad,sadadd,,,,ddad,adadd,En attente,sadadd
cczcc,xzcxzcxzccczc,xczczczxczxc,czcc,,,,zxccczc,zxczxcxcz,En attente,zczzx
dsfsd,fdffsf,scfsfsdffds,czxcsdfsdfsdfsd,,,,sdssdfsfdsf,fsfsdf,En attente,fsfs
czxczczxc,zczcxzcxzczc,cxccxcx,xcxcc,,,,xczczc,czczcz,En attente,xczcxzczczczczczc
gfg,gdgd,fvgfdgdfgfdgdf,fdfsfsdfds,,,,fdgdf,gdgdg,En attente,gdgdgd
fsffs,fsfsff,sdvfdsfsdfd,fff,,,,fsffsd,ffssf,En attente,fsfsff
cxzczzxcc,czcccc,ccxcczxcz,cccc,,,,cczcz,zczczc,En attente,cxzcczc
sdsdsd,dada,dsdsdd,sdsd,,,,dsdsdsd,addd,En attente,ada
,Delifruit,Ryan,https://delifruit.com,,,,435,ryan@gmail.com,En attente,https://geme.com
dadadasd,dada,dsasadas,adad,,,,adadad,dadd,En attente,dada
dadadasd,dada,dsasadas,adad,,,,adadad,dadd,En attente,dada
daddsd,dadadd,sadadadsa,asdada,,,,dadd,sadadsadada,En attente,ddadsa
daddsd,dadadd,sadadadsa,asdada,,,,dadd,sadadsadada,En attente,ddadsa
daddsd,dadadd,sadadadsa,asdada,,,,dadd,sadadsadada,En attente,ddadsa
daddsd,dadadd,sadadadsa,asdada,,,,dadd,sadadsadada,En attente,ddadsa
daddsd,dadadd,sadadadsa,asdada,,,,dadd,sadadsadada,En attente,ddadsa
daddsd,dadadd,sadadadsa,asdada,,,,dadd,sadadsadada,En attente,ddadsa
,,,dsfsfs,,,,,,En attente,
,,,asDSDADA,,,,,,En attente,
